model_name,team_id,games,accuracy_when_in_game,avg_model_p_team_win,model_pick_rate,actual_team_win_rate
home_team_baseline,115,316,0.5506329113924051,0.5005072908026494,0.5126582278481012,0.3227848101265823
home_team_baseline,119,312,0.5512820512820513,0.49961465410183353,0.49038461538461536,0.5801282051282052
home_team_baseline,134,315,0.5619047619047619,0.5005725139058472,0.5142857142857142,0.4507936507936508
home_team_baseline,140,315,0.5746031746031746,0.49968193671897376,0.49206349206349204,0.4857142857142857
home_team_baseline,136,314,0.5796178343949044,0.4994894780457413,0.4872611464968153,0.5445859872611465
home_team_baseline,143,317,0.580441640378549,0.49993678868547425,0.49842271293375395,0.583596214511041
legacy_full,110,315,0.4888888888888889,0.48627116074115806,0.43174603174603177,0.5111111111111111
legacy_full,139,315,0.4984126984126984,0.4906700098990891,0.4507936507936508,0.48253968253968255
legacy_full,114,316,0.5063291139240507,0.4908624561254668,0.4177215189873418,0.5569620253164557
legacy_full,111,314,0.5159235668789809,0.4959994393626719,0.5063694267515924,0.5191082802547771
legacy_full,138,315,0.5174603174603175,0.48241371720583354,0.40634920634920635,0.49523809523809526
legacy_full,144,315,0.5206349206349207,0.5564906862922014,0.7301587301587301,0.5111111111111111
legacy_full,108,316,0.5221518987341772,0.45862433694612065,0.31645569620253167,0.41455696202531644
legacy_full,113,316,0.5253164556962026,0.47946821475589585,0.41455696202531644,0.49050632911392406
legacy_full,135,312,0.5256410256410257,0.5179602976680879,0.6153846153846154,0.5641025641025641
legacy_full,112,313,0.5399361022364217,0.541183864332223,0.6805111821086262,0.5399361022364217
legacy_full,141,315,0.5428571428571428,0.5007887268406763,0.5238095238095238,0.5238095238095238
legacy_full,134,315,0.546031746031746,0.4828778168916471,0.3968253968253968,0.4507936507936508
legacy_full,133,314,0.554140127388535,0.46414535519094524,0.3821656050955414,0.45222929936305734
legacy_full,121,316,0.5569620253164557,0.5263678112327694,0.6265822784810127,0.5443037974683544
legacy_full,158,317,0.5583596214511041,0.5330552957919639,0.6813880126182965,0.5930599369085173
legacy_full,137,316,0.560126582278481,0.5013259989291265,0.48417721518987344,0.4936708860759494
legacy_full,142,316,0.560126582278481,0.5052429407503133,0.5063291139240507,0.47151898734177217
legacy_full,146,314,0.5636942675159236,0.43422305577546927,0.2070063694267516,0.445859872611465
legacy_full,117,316,0.5664556962025317,0.5316068291464234,0.6107594936708861,0.5506329113924051
legacy_full,118,317,0.5709779179810726,0.5101581469177545,0.5520504731861199,0.5205047318611987
legacy_full,143,317,0.5709779179810726,0.5576000990324221,0.7350157728706624,0.583596214511041
legacy_full,147,316,0.5727848101265823,0.5585086427064754,0.7658227848101266,0.5664556962025317
legacy_full,116,317,0.5741324921135647,0.5199199729817222,0.5899053627760252,0.5299684542586751
legacy_full,109,315,0.5746031746031746,0.49231884284646216,0.45714285714285713,0.5206349206349207
legacy_full,136,314,0.5764331210191083,0.5427943744648204,0.7006369426751592,0.5445859872611465
legacy_full,140,315,0.580952380952381,0.506042039694193,0.5111111111111111,0.4857142857142857
legacy_full,119,312,0.5833333333333334,0.5535318597686584,0.7339743589743589,0.5801282051282052
legacy_full,120,316,0.5854430379746836,0.45441492027677916,0.26582278481012656,0.43354430379746833
legacy_full,145,317,0.6750788643533123,0.41768378111242993,0.14826498422712933,0.3028391167192429
legacy_full,115,316,0.680379746835443,0.4082192442218029,0.1550632911392405,0.3227848101265823
pregame_safe,139,315,0.4857142857142857,0.49071171644485034,0.46984126984126984,0.48253968253968255
pregame_safe,138,315,0.5111111111111111,0.4806728542352951,0.38095238095238093,0.49523809523809526
pregame_safe,140,315,0.5111111111111111,0.4971031042669745,0.5047619047619047,0.4857142857142857
pregame_safe,114,316,0.5158227848101266,0.4898090414246733,0.4462025316455696,0.5569620253164557
pregame_safe,134,315,0.5206349206349207,0.4860202410584851,0.4158730158730159,0.4507936507936508
pregame_safe,135,312,0.5224358974358975,0.5246289500365644,0.5993589743589743,0.5641025641025641
pregame_safe,141,315,0.5238095238095238,0.5014710682069481,0.5174603174603175,0.5238095238095238
pregame_safe,113,316,0.5253164556962026,0.4890603552425645,0.4272151898734177,0.49050632911392406
pregame_safe,116,317,0.5299684542586751,0.5247916759011063,0.6088328075709779,0.5299684542586751
pregame_safe,110,315,0.5333333333333333,0.5020127858479382,0.48253968253968255,0.5111111111111111
pregame_safe,112,313,0.5335463258785943,0.5307917058988223,0.6613418530351438,0.5399361022364217
pregame_safe,144,315,0.5365079365079365,0.5392044898391273,0.707936507936508,0.5111111111111111
pregame_safe,111,314,0.5382165605095541,0.507046714489166,0.5414012738853503,0.5191082802547771
pregame_safe,158,317,0.5394321766561514,0.5244816178401158,0.6246056782334385,0.5930599369085173
pregame_safe,142,316,0.5411392405063291,0.5140171876690484,0.5379746835443038,0.47151898734177217
pregame_safe,147,316,0.5411392405063291,0.5460235589709506,0.7278481012658228,0.5664556962025317
pregame_safe,133,314,0.5414012738853503,0.4651235339139458,0.3630573248407643,0.45222929936305734
pregame_safe,108,316,0.5443037974683544,0.46169858827637505,0.3259493670886076,0.41455696202531644
pregame_safe,120,316,0.5569620253164557,0.4625439667945484,0.31962025316455694,0.43354430379746833
pregame_safe,121,316,0.5569620253164557,0.5216923234051598,0.5632911392405063,0.5443037974683544
pregame_safe,137,316,0.5569620253164557,0.5048380526311709,0.4873417721518987,0.4936708860759494
pregame_safe,136,314,0.5605095541401274,0.5465810733157324,0.7038216560509554,0.5445859872611465
pregame_safe,119,312,0.5641025641025641,0.531805445856161,0.657051282051282,0.5801282051282052
pregame_safe,117,316,0.5727848101265823,0.520090794588255,0.5727848101265823,0.5506329113924051
pregame_safe,146,314,0.5732484076433121,0.448389753107553,0.2611464968152866,0.445859872611465
pregame_safe,118,317,0.5741324921135647,0.5086277476059653,0.5867507886435331,0.5205047318611987
